Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D67, D68, D69, D7, D70, D71, D73, D74, D75, D76, D77, D79, D8, D80, D81, D82, D83, D86, D87, D9",D_SOD-323,82,D,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D97, D98, D99",0402,82,LED,C71911
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Socket,
"Q1, Q2, Q3",TO-220-3_Vertical,3,IRLZ34N,C538198
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R,
"R10, R11, R12, R13, R14, R15, R16, R17, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93",0603,82,R,C101269
"SW1, SW10, SW11, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW21, SW22, SW23, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW63, SW64, SW65, SW67, SW68, SW69, SW7, SW70, SW76, SW77, SW78, SW8, SW80, SW82, SW85, SW86, SW89, SW9, SW90",SW_Cherry_MX_1.00u_PCB,71,SW_Push,
"SW12, SW18, SW5, SW6",SW_Cherry_MX_1.25u_PCB,4,SW_Push,
SW24,SW_Cherry_MX_6.25u_PCB,1,SW_Push,
"SW3, SW84",SW_Cherry_MX_1.50u_PCB,2,SW_Push,
"SW4, SW71",SW_Cherry_MX_1.75u_PCB,2,SW_Push,
SW79,SW_Cherry_MX_2.25u_PCB,1,SW_Push,
SW83,SW_Cherry_MX_2.00u_PCB,1,SW_Push,
